,precio_euros,tamanho,Barcelona
0,1620.0,18.0,90.0
1,1970.0,18.0,109.44444444444444
2,1970.0,18.0,109.44444444444444
3,1120.0,18.0,62.22222222222222
4,1970.0,18.0,109.44444444444444
5,920.0,18.0,51.111111111111114
6,1100.0,18.0,61.111111111111114
7,400.0,18.0,22.22222222222222
8,750.0,18.0,41.666666666666664
9,450.0,18.0,25.0
10,650.0,18.0,36.111111111111114
11,380.0,18.0,21.11111111111111
12,600.0,18.0,33.333333333333336
13,530.0,18.0,29.444444444444443
14,530.0,18.0,29.444444444444443
15,700.0,18.0,38.888888888888886
16,750.0,18.0,41.666666666666664
17,435.0,18.0,24.166666666666668
18,975.0,18.0,54.166666666666664
19,550.0,18.0,30.555555555555557
20,450.0,18.0,25.0
21,450.0,18.0,25.0
22,450.0,18.0,25.0
23,500.0,18.0,27.77777777777778
24,450.0,18.0,25.0
25,470.0,18.0,26.11111111111111
26,750.0,18.0,41.666666666666664
27,750.0,18.0,41.666666666666664
28,420.0,18.0,23.333333333333332
29,320.0,18.0,17.77777777777778
30,450.0,18.0,25.0
31,1190.0,18.0,66.11111111111111
32,350.0,18.0,19.444444444444443
33,1650.0,18.0,91.66666666666667
34,400.0,18.0,22.22222222222222
35,2050.0,18.0,113.88888888888889
36,2050.0,18.0,113.88888888888889
37,450.0,18.0,25.0
38,480.0,18.0,26.666666666666668
39,390.0,18.0,21.666666666666668
40,1620.0,18.0,90.0
41,1970.0,18.0,109.44444444444444
42,1970.0,18.0,109.44444444444444
43,1120.0,18.0,62.22222222222222
44,1970.0,18.0,109.44444444444444
45,920.0,18.0,51.111111111111114
46,1100.0,18.0,61.111111111111114
47,400.0,18.0,22.22222222222222
48,750.0,18.0,41.666666666666664
49,450.0,18.0,25.0
50,650.0,18.0,36.111111111111114
51,380.0,18.0,21.11111111111111
52,600.0,18.0,33.333333333333336
53,530.0,18.0,29.444444444444443
54,530.0,18.0,29.444444444444443
55,700.0,18.0,38.888888888888886
56,750.0,18.0,41.666666666666664
57,435.0,18.0,24.166666666666668
58,975.0,18.0,54.166666666666664
59,550.0,18.0,30.555555555555557
60,450.0,18.0,25.0
61,450.0,18.0,25.0
62,450.0,18.0,25.0
63,500.0,18.0,27.77777777777778
64,450.0,18.0,25.0
65,470.0,18.0,26.11111111111111
66,750.0,18.0,41.666666666666664
67,750.0,18.0,41.666666666666664
68,420.0,18.0,23.333333333333332
69,320.0,18.0,17.77777777777778
70,450.0,18.0,25.0
71,1190.0,18.0,66.11111111111111
72,350.0,18.0,19.444444444444443
73,1650.0,18.0,91.66666666666667
74,400.0,18.0,22.22222222222222
75,2050.0,18.0,113.88888888888889
76,2050.0,18.0,113.88888888888889
77,450.0,18.0,25.0
78,480.0,18.0,26.666666666666668
79,390.0,18.0,21.666666666666668
80,1620.0,18.0,90.0
81,1970.0,18.0,109.44444444444444
82,1970.0,18.0,109.44444444444444
83,1120.0,18.0,62.22222222222222
84,1970.0,18.0,109.44444444444444
85,920.0,18.0,51.111111111111114
86,1100.0,18.0,61.111111111111114
87,400.0,18.0,22.22222222222222
88,750.0,18.0,41.666666666666664
89,450.0,18.0,25.0
90,650.0,18.0,36.111111111111114
91,380.0,18.0,21.11111111111111
92,600.0,18.0,33.333333333333336
93,530.0,18.0,29.444444444444443
94,530.0,18.0,29.444444444444443
95,700.0,18.0,38.888888888888886
96,750.0,18.0,41.666666666666664
97,435.0,18.0,24.166666666666668
98,975.0,18.0,54.166666666666664
99,550.0,18.0,30.555555555555557
100,450.0,18.0,25.0
101,450.0,18.0,25.0
102,450.0,18.0,25.0
103,500.0,18.0,27.77777777777778
104,450.0,18.0,25.0
105,470.0,18.0,26.11111111111111
106,750.0,18.0,41.666666666666664
107,750.0,18.0,41.666666666666664
108,420.0,18.0,23.333333333333332
109,320.0,18.0,17.77777777777778
110,450.0,18.0,25.0
111,1190.0,18.0,66.11111111111111
112,350.0,18.0,19.444444444444443
113,1650.0,18.0,91.66666666666667
114,400.0,18.0,22.22222222222222
115,2050.0,18.0,113.88888888888889
116,2050.0,18.0,113.88888888888889
117,450.0,18.0,25.0
118,480.0,18.0,26.666666666666668
119,390.0,18.0,21.666666666666668
120,1620.0,18.0,90.0
121,1970.0,18.0,109.44444444444444
122,1970.0,18.0,109.44444444444444
123,1120.0,18.0,62.22222222222222
124,1970.0,18.0,109.44444444444444
125,920.0,18.0,51.111111111111114
126,1100.0,18.0,61.111111111111114
127,400.0,18.0,22.22222222222222
128,750.0,18.0,41.666666666666664
129,450.0,18.0,25.0
130,650.0,18.0,36.111111111111114
131,380.0,18.0,21.11111111111111
132,600.0,18.0,33.333333333333336
133,530.0,18.0,29.444444444444443
134,530.0,18.0,29.444444444444443
135,700.0,18.0,38.888888888888886
136,750.0,18.0,41.666666666666664
137,435.0,18.0,24.166666666666668
138,975.0,18.0,54.166666666666664
139,550.0,18.0,30.555555555555557
140,450.0,18.0,25.0
141,450.0,18.0,25.0
142,450.0,18.0,25.0
143,500.0,18.0,27.77777777777778
144,450.0,18.0,25.0
145,470.0,18.0,26.11111111111111
146,750.0,18.0,41.666666666666664
147,750.0,18.0,41.666666666666664
148,420.0,18.0,23.333333333333332
149,320.0,18.0,17.77777777777778
150,450.0,18.0,25.0
151,1190.0,18.0,66.11111111111111
152,350.0,18.0,19.444444444444443
153,1650.0,18.0,91.66666666666667
154,400.0,18.0,22.22222222222222
155,2050.0,18.0,113.88888888888889
156,2050.0,18.0,113.88888888888889
157,450.0,18.0,25.0
158,480.0,18.0,26.666666666666668
159,390.0,18.0,21.666666666666668
